activity_id,parent_id,area_id,parent_name,name,position
741,52,53,Executive Functions,Working M.,2
742,24,29,Language,Vocabulary,2
742,52,53,Executive Functions,Working M.,3
742,14,23,Attention,Hemineglect,3
743,14,21,Attention,Processing Speed,1
743,14,16,Attention,Sustained Attention,2
744,13,35,Memory,Episodic Memory,1
746,24,29,Language,Vocabulary,1
746,52,53,Executive Functions,Working M.,2
747,52,53,Executive Functions,Working M.,1
747,13,35,Memory,Episodic Memory,2
748,13,35,Memory,Episodic Memory,1
748,52,55,Executive Functions,Inhibition,2
749,13,35,Memory,Episodic Memory,1
749,14,23,Attention,Hemineglect,2
750,14,22,Attention,Alternating Attention,1
750,14,15,Attention,Selective Attention,2
751,14,15,Attention,Selective Attention,1
751,42,43,Gnosis,Visual Gnosis,2
751,14,16,Attention,Sustained Attention,3
752,52,59,Executive Functions,Planning,1
752,14,21,Attention,Processing Speed,2
752,14,16,Attention,Sustained Attention,3
752,14,23,Attention,Hemineglect,4
752,14,15,Attention,Selective Attention,5
753,24,27,Language,Expression,1
753,52,53,Executive Functions,Working M.,2
753,52,57,Executive Functions,Flexibility,3
753,52,59,Executive Functions,Planning,4
753,24,25,Language,Comprehension,5
754,52,53,Executive Functions,Working M.,1
754,52,59,Executive Functions,Planning,2
754,5,72,Instrumental ADL's,Shopping,3
755,14,15,Attention,Selective Attention,1
755,42,43,Gnosis,Visual Gnosis,2
755,14,16,Attention,Sustained Attention,3
756,14,15,Attention,Selective Attention,1
756,52,53,Executive Functions,Working M.,2
757,13,35,Memory,Episodic Memory,1
757,52,53,Executive Functions,Working M.,2
757,14,15,Attention,Selective Attention,3
758,13,35,Memory,Episodic Memory,1
758,14,23,Attention,Hemineglect,2
759,13,34,Memory,Semantic Memory,1
760,13,34,Memory,Semantic Memory,1
761,13,35,Memory,Episodic Memory,1
761,52,53,Executive Functions,Working M.,2
762,13,35,Memory,Episodic Memory,1
762,52,53,Executive Functions,Working M.,2
762,14,15,Attention,Selective Attention,3
763,13,35,Memory,Episodic Memory,1
763,52,53,Executive Functions,Working M.,2
763,14,15,Attention,Selective Attention,3
764,49,50,Visuospatial Skills,Spatial Relation,1
764,14,23,Attention,Hemineglect,2
765,52,53,Executive Functions,Working M.,1
767,14,16,Attention,Sustained Attention,1
767,14,15,Attention,Selective Attention,2
767,14,23,Attention,Hemineglect,3
768,42,43,Gnosis,Visual Gnosis,1
768,14,15,Attention,Selective Attention,2
769,52,57,Executive Functions,Flexibility,1
769,52,59,Executive Functions,Planning,2
769,14,15,Attention,Selective Attention,3
769,14,23,Attention,Hemineglect,4
769,14,22,Attention,Alternating Attention,5
771,49,50,Visuospatial Skills,Spatial Relation,1
771,52,60,Executive Functions,Reasoning,2
771,14,23,Attention,Hemineglect,3
771,52,53,Executive Functions,Working M.,4
772,49,51,Visuospatial Skills,Spatial Visualization,1
772,52,59,Executive Functions,Planning,2
773,14,16,Attention,Sustained Attention,1
773,49,50,Visuospatial Skills,Spatial Relation,2
773,14,15,Attention,Selective Attention,3
773,14,23,Attention,Hemineglect,4
775,14,15,Attention,Selective Attention,1
775,14,16,Attention,Sustained Attention,2
775,49,50,Visuospatial Skills,Spatial Relation,3
